Au/Ag;W ppm ME-MS61;Ln(W)
0;10000;9.21034
0;500;6.214608
0;830;6.721426
0;129.5;4.863681
0;27.7;3.321432
0;420;6.040255
0;17;2.833213
0;520;6.253829
0;355;5.872118
0;399;5.988961
0;19.5;2.970414
0;113;4.727388
0;14.5;2.674149
0;14.9;2.701361
0;37.7;3.62966
0;470;6.152733
0;28.7;3.356897
0;11;2.397895
0;173;5.153292
0;1.3;0.262364
0;30.2;3.407842
0;60.8;4.10759
0;10.3;2.332144
0;41.7;3.730501
0;223;5.407172
0;8.7;2.163323
0;78.4;4.361824
0;140.5;4.945207
0;210;5.347108
0;13.2;2.580217
0;14.4;2.667228
0;43.1;3.763523
0;8.2;2.104134
0;75.5;4.324133
0;40.7;3.706228
0;7.4;2.00148
0;6.7;1.902108
0;4.2;1.435085
0.01;7.3;1.987874
0.01;54.2;3.992681
0.01;142;4.955827
0.01;66.9;4.203199
0.01;34.2;3.532226
0.01;261;5.56452
0.01;22.3;3.104587
0.01;22.1;3.095578
0.01;11.2;2.415914
0.01;2.4;0.875469
0.01;9.9;2.292535
0.01;3.5;1.252763
0.01;22.6;3.11795
0.01;101;4.615121
0.01;117;4.762174
0.01;15.5;2.74084
0.01;209;5.342334
0.01;16.7;2.815409
0.01;14.4;2.667228
0.01;2.8;1.029619
0.01;18.2;2.901422
0.01;16;2.772589
0.01;26.8;3.288402
0.01;68.2;4.222445
0.01;2.7;0.993252
0.01;33.4;3.508556
0.01;73.2;4.293195
0.01;11.1;2.406945
0.01;20.7;3.030134
0.01;1.3;0.262364
0.01;67.5;4.212128
0.01;0.9;-0.10536
0.01;1.5;0.405465
0.01;8.3;2.116256
0.01;71.8;4.273884
0.01;6;1.791759
0.01;39.8;3.683867
0.01;30.1;3.404525
0.01;164;5.099866
0.01;178.5;5.184589
0.01;27.7;3.321432
0.01;2.7;0.993252
0.01;342;5.834811
0.01;13.6;2.61007
0.01;6.5;1.871802
0.01;1.2;0.182322
0.01;1.1;0.09531
0.01;20.5;3.020425
0.01;45.4;3.815512
0.01;2.3;0.832909
0.01;7.1;1.960095
0.01;1.2;0.182322
0.01;11.3;2.424803
0.01;3;1.098612
0.01;73;4.290459
0.01;23.4;3.152736
0.01;91.3;4.514151
0.01;6.4;1.856298
0.01;54.3;3.994524
0.01;23;3.135494
0.01;2.7;0.993252
0.01;10.5;2.351375
0.01;1.5;0.405465
0.01;81.5;4.400603
0.01;3.4;1.223775
0.01;92.1;4.522875
0.01;14.2;2.653242
0.01;26.8;3.288402
0.01;9.1;2.208274
0.01;1.5;0.405465
0.01;38.5;3.650658
0.01;18.5;2.917771
0.01;5.3;1.667707
0.01;7.2;1.974081
0.01;2.9;1.064711
0.01;21;3.044522
0.01;10.5;2.351375
0.01;1.2;0.182322
0.01;1.1;0.09531
0.01;10.6;2.360854
0.01;2.6;0.955511
0.01;22.8;3.126761
0.01;45.2;3.811097
0.01;3;1.098612
0.01;3.9;1.360977
0.01;46.7;3.843744
0.01;17.1;2.839078
0.01;9.1;2.208274
0.01;334;5.811141
0.01;15.3;2.727853
0.01;2.8;1.029619
0.01;29.6;3.387774
0.01;47.7;3.864931
0.02;1.6;0.470004
0.02;8.2;2.104134
0.02;197.5;5.285739
0.02;17.2;2.844909
0.02;9.4;2.24071
0.02;38.6;3.653252
0.02;78.1;4.35799
0.02;2.2;0.788457
0.02;21.9;3.086487
0.02;22.9;3.131137
0.02;13.4;2.595255
0.02;5.8;1.757858
0.02;25;3.218876
0.02;2.4;0.875469
0.02;23.8;3.169686
0.02;7.5;2.014903
0.02;8.1;2.091864
0.02;8.1;2.091864
0.02;95;4.553877
0.02;16.8;2.821379
0.02;4.2;1.435085
0.02;7.1;1.960095
0.02;34.1;3.529297
0.02;7.2;1.974081
0.02;72.6;4.284965
0.02;3.9;1.360977
0.02;15.5;2.74084
0.02;2.1;0.741937
0.02;92.6;4.528289
0.02;22.5;3.113515
0.02;45.1;3.808882
0.02;46.7;3.843744
0.02;3.2;1.163151
0.02;5.9;1.774952
0.02;9.2;2.219203
0.02;105;4.65396
0.02;26.4;3.273364
0.02;3;1.098612
0.02;87.2;4.468204
0.02;7;1.94591
0.02;5.6;1.722767
0.02;10.1;2.312535
0.02;42.9;3.758872
0.02;4.9;1.589235
0.02;7.4;2.00148
0.02;21.2;3.054001
0.02;9.3;2.230014
0.02;0.9;-0.10536
0.02;5.6;1.722767
0.02;15;2.70805
0.02;11.1;2.406945
0.02;6.4;1.856298
0.02;16.9;2.827314
0.02;3.2;1.163151
0.02;7;1.94591
0.02;56.1;4.027136
0.02;25.8;3.250374
0.02;6.4;1.856298
0.02;52.7;3.964615
0.02;5.5;1.704748
0.02;1.9;0.641854
0.02;40.5;3.701302
0.02;4.3;1.458615
0.02;1.2;0.182322
0.02;0.3;-1.20397
0.02;13.9;2.631889
0.02;2.4;0.875469
0.02;4.1;1.410987
0.02;10.8;2.379546
0.02;249;5.517453
0.02;9.2;2.219203
0.02;12.2;2.501436
0.03;0.7;-0.35667
0.03;3.8;1.335001
0.03;2.1;0.741937
0.03;6;1.791759
0.03;4;1.386294
0.03;5.9;1.774952
0.03;26.6;3.280911
0.03;20.5;3.020425
0.03;8.1;2.091864
0.03;2.1;0.741937
0.03;3.9;1.360977
0.03;18.3;2.906901
0.03;2.9;1.064711
0.03;2.6;0.955511
0.03;5.2;1.648659
0.03;3.1;1.131402
0.03;4.2;1.435085
0.03;6.8;1.916923
0.03;2.9;1.064711
0.03;14.3;2.66026
0.03;2.2;0.788457
0.03;17.1;2.839078
0.03;62.1;4.128746
0.03;19.4;2.965273
0.03;4.8;1.568616
0.03;5.9;1.774952
0.03;2;0.693147
0.03;169;5.129899
0.03;10;2.302585
0.03;22.7;3.122365
0.03;26.1;3.261935
0.03;21.6;3.072693
0.03;23.4;3.152736
0.03;5.3;1.667707
0.03;16.1;2.778819
0.03;2.1;0.741937
0.03;22.7;3.122365
0.03;61.8;4.123903
0.03;87.7;4.473922
0.03;86.4;4.458988
0.03;2.7;0.993252
0.03;1.3;0.262364
0.03;7.1;1.960095
0.03;1.7;0.530628
0.03;9.4;2.24071
0.03;5.7;1.740466
0.03;26.2;3.265759
0.03;29.3;3.377588
0.03;6.4;1.856298
0.03;34.1;3.529297
0.03;4.7;1.547563
0.03;2.2;0.788457
0.03;39.8;3.683867
0.03;4.9;1.589235
0.04;2.8;1.029619
0.04;1.9;0.641854
0.04;3.8;1.335001
0.04;6.1;1.808289
0.04;12.8;2.549445
0.04;9.6;2.261763
0.04;2.5;0.916291
0.04;9.6;2.261763
0.04;7;1.94591
0.04;8.8;2.174752
0.04;9.6;2.261763
0.04;4.6;1.526056
0.04;1.6;0.470004
0.04;2.3;0.832909
0.04;4.4;1.481605
0.04;3.6;1.280934
0.04;4.2;1.435085
0.04;0.9;-0.10536
0.04;67.1;4.206184
0.04;2.1;0.741937
0.04;77;4.343805
0.04;13.3;2.587764
0.04;3.9;1.360977
0.04;2.9;1.064711
0.04;2.7;0.993252
0.04;5.1;1.629241
0.04;5.8;1.757858
0.04;4.6;1.526056
0.04;8.4;2.128232
0.04;11;2.397895
0.04;2.3;0.832909
0.04;3.4;1.223775
0.04;2.5;0.916291
0.04;17.1;2.839078
0.04;20.8;3.034953
0.04;1.2;0.182322
0.04;4.5;1.504077
0.04;7;1.94591
0.04;8.8;2.174752
0.04;43.5;3.772761
0.04;2.5;0.916291
0.04;28.5;3.349904
0.04;2;0.693147
0.04;7;1.94591
0.04;4.1;1.410987
0.04;3.1;1.131402
0.04;10.5;2.351375
0.04;16.4;2.797281
0.04;5.3;1.667707
0.04;19.4;2.965273
0.04;2.9;1.064711
0.04;27.2;3.303217
0.05;67.4;4.210645
0.05;16.8;2.821379
0.05;3.1;1.131402
0.05;1.4;0.336472
0.05;18.9;2.939162
0.05;1.9;0.641854
0.05;6.7;1.902108
0.05;11.3;2.424803
0.05;5.4;1.686399
0.05;20.6;3.025291
0.05;1.5;0.405465
0.05;19;2.944439
0.05;9.6;2.261763
0.05;12.7;2.541602
0.05;17.2;2.844909
0.05;3.9;1.360977
0.05;13.5;2.60269
0.05;8.3;2.116256
0.05;1.3;0.262364
0.05;4;1.386294
0.05;31.1;3.437208
0.05;12.9;2.557227
0.05;8.7;2.163323
0.05;12.3;2.509599
0.05;3.7;1.308333
0.05;1.7;0.530628
0.05;107;4.672829
0.06;3.5;1.252763
0.06;4.1;1.410987
0.06;8.8;2.174752
0.06;5.5;1.704748
0.06;7.5;2.014903
0.06;3.6;1.280934
0.06;12;2.484907
0.06;3.4;1.223775
0.06;1.3;0.262364
0.06;24;3.178054
0.06;5.6;1.722767
0.06;8.5;2.140066
